,title,link,description
0,미등기 신축 아파트 전세 <b>이중계약</b> 확인 방법,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=427481202&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,"... 계약일에 주민센터에서 임대차 신고하고, 확정일자를 받았는데 (1) 집 주인이 <b>동일 물건</b>을 가지고, <b>이중계약</b>을 할 수 있는지 (2) 혹시 <b>이중계약</b>이 가능하다면 제가 그 사실을 어떻게 알 수 있을지 (3) 미등기 신축 아파트에 전세계약을... "
1,<b>이중계약</b> 계약불이행 사기,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=389358783&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,... 지인에게 <b>동일</b>한 땅에대한 <b>이중계약</b>을 썻다는 것으로 두가지로 고소장을 날렸는데요 피고소인은 자기는 그땅을... 아니고 <b>이중계약</b>도 아니고 아무문제도 없다고 말하는데 너무 뻔뻔합니다 <b>물건</b>을 훔치고 다시 돌려주면... 
2,중도이사/<b>이중계약</b> 등 봐주시면 감사하겠습니다!,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=407497101&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,... (2중 계약 상태가 가능한지) =&gt; 2중 계약은 <b>동일 물건</b> <b>동일</b> 대상자가 세금 포탈 등의 목적으로 계약의 내용과 다른 또다른 계약서를 작성하여 해당 관청 등에 신고할 경우 문제가 되는 것으로 질문자님의 경우 2중 계약 등으로 문제되지... 
3,아파트 인테리어 <b>이중계약</b>문제,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80801&docId=29769256&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,"... 전 절대로 계약을 요구한적이 없다구 했지만, A회사 담당자는 <b>이중 계약</b>이라... 사인한것과 <b>동일</b>함이라는 말과 똑같은 겁니다. 계약금도 없고 서명도... 하자보수또한 받기 어려우며 제값을 주고 사는 <b>물건</b>이 어찌도면 당연하다고... "
4,부동산 <b>이중계약</b>에 대해서 질문이 있습니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=35142633&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... 하였는데 <b>이중계약</b> 사실을 알게된 A씨가 위약금은 필요 없고 먼저계약한게... 부동산 이중매매’란 <b>동일</b>한 부동산에 관하여 둘 이상의 매매계약을... 「민법」제565조 제1항은 “매매의 당사자 일방이 계약 당시에 금전 기타 <b>물건</b>을... 
5,상가 <b>이중계약</b>건,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=150411454&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,"... 아시는 분은 답변 부탁드릴께요.^^ 질문내용으로 보면 <b>동일</b>한 <b>물건</b>으로 다른 임차인과 계약을 맺는 <b>이중계약</b>이 아니라, <b>동일</b>한 임차인과 기존 계약서와는 별도로 다른내용의 계약을 체결한 것으로 보여집니다. 다른내용의 계약을... "
6,임대차계약건에 관하여 궁금합니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=426607607&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,... 15일과 <b>동일</b>하다는 것입니다. 그러면서 새로 산 매수인이 저와 매도인(현재의... 또한 임대인(매도인이자 현 등기명의인)에게 <b>이중계약</b> 등의 책임을 물어 형사고소가 가능한지요? 3. 이와 같이 하자 있는 <b>물건</b>을 중개한 공인중개사... 
7,"월세 묵시적갱신 , 복비 관련 질문입니다!",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=427542584&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,... 큰 <b>물건</b>은 천천히 치우려고 놔두었는데 집주인이 집에 <b>물건</b>이 많아 새로운... 집주인입장에서는 <b>이중계약</b>아닙니까? 그리고 제가 억지로 2달만 살고... 묵시적갱신으로 계약이 연장되었다면 기존계약과 <b>동일</b>한 조건입니다. 따라서... 
8,"원룸 1년 계약 만료 후, 더 살겠다고 말하면 1년 자동... ",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=397364334&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,... (<b>이중계약</b>이라던지.. 뭔가가 있나 싶어서요..) =&gt; 2중 계약은 <b>동일물건</b>에 중복 계약일 경우 문제가 되는 것이므로 사정에 따라 기존에 월세 계약 존속 중에도 새로운 전세계약을 할 수는 있습니다. 
9,대리인을 통한 전세계약시 궁금한것이 있습니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=268012885&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... <b>물건</b>에 융자는 없는상태입니다. 저는 1억원 정도 전세자금대출을 받을... 전세<b>이중계약</b> 사기 사례가 꽤나 빈번하게 있더라구요. 저한테는 큰... 인감도장이 <b>동일</b>한지 꼼꼼히 확인하세요. 그리고 인감증명원에 부동산 임대계약... 
