,title,link,description
0,<b>깡통전세</b> 이미 당한거같은데 방법이 없을까요?,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=425111182&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,<b>깡통전세</b>에 당한거 같습니다..ㅜㅜ 너무 분하고 억울한데 관련 지식이 없어서 도움요청 드립니다. 전문지식이 아닌 카더라 같은 허위정보는 정중히 사양합니다. 20년10월에 전세 입주를 했는데요 생애 처음으로 전세를 계약한지라... 
1,<b>깡통 전세</b> 계약 파기 소송,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=428343302&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,"2022.04.29 <b>깡통 전세</b>인줄 모르고 전세 계약을 체결 하였습니다 보증금190,000,000의 계약금 5% 9,500,000 입금 했습니다 나머지 잔금을 치루기 전에 <b>깡통 전세</b> 매물임을 확인하고 구두로 계약 파기를 요청 하였으나 집주인은 일방적인 계약... "
2,<b>깡통전세</b>사기 당한것 같아요,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=429181103&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,"... 목적으로 <b>깡통 전세</b>를 구입한 것으로 추정되는데, 이 전 주인, 새 주인간의 매매계약을 무효화하는 소송이 가능할지 문의드립니다. 관련태그: 임대차  # 법무법인 건우 | 임영근 변호사 # [변호사 프로필보기] | [더 많은 변호사 답변... "
3,요즘 <b>깡통전세</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=429647130&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,<b>깡통전세</b>때문에 걱정이네요 제가사는곳이 내년초이면재개발때문에 이사를 해야 하는데 걱정이네요 대출받을여건 도 안되고 돈도 모아둔것도 없고 <b>깡통전세</b> 끝나도 전세 값이 비쌀까요 언제쯤 좋아질지 ㅠ 걱정이태산이네요 ㅠ 깡통... 
4,"오피스텔 전세사기, <b>깡통전세</b> 질문",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=430808225&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... -네 <b>깡통전세</b>는 맞습니다 그래서 문제가 생기면 보증금 회수가 어려울 수 있습니다 하지만 시장에 이런 매물이 있고 계속 거래가 되기 때문에 무조건 안된다고 하기 보다는 최소한의 안전장치인 보증보험 가입여부를 확인해보는게... 
5,<b>깡통전세</b> 문의드립니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=429463656&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,"... 전세대출을 신청하기 앞서 속히 말하는 <b>깡통전세</b>는 아닌가 궁금하더라고요. 해당 집은 부동산 중개사무사분이 집 주인인 전세 투룸이었고요, 등기상 기재된 근저당 최고액을 계산했을 때, 은행융자 원금이 2억 7천정도 됐습니다.... "
6,신축 빌라 <b>깡통전세</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430292198&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,안녕하세요 부동산에 무지했던 저는 신축빌라 <b>전세</b>계약을 덜컥했습니다 그리고 나서 여기저기서 신축빌라 <b>전세</b> 사기뉴스들이 터지고 찾아보니 저역시 <b>깡통</b>신축빌라더라구요 3층 신축빌라인데 hug기준시세가 9억5천2백만원입니다... 
7,부동산 <b>깡통전세</b> 질문입니다,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=428279439&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,안녕하세요 매매가 3억2천 빌라에 <b>전세</b> 2억7천인데 <b>전세</b> 2억7천에 계약하려고 가계약200만원걸어논상태입니다... 내가주는 <b>전세</b>잔금으로 근저당풀고할거라는데 믿을수있는걸까요 보증보험은 저상태에선 가입이안돼죠? 그런... 
8,<b>깡통전세</b> 전세보증보험,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40106&docId=424552640&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,"... 요즘 <b>깡통전세</b> 사기가 많다고하여 질문드립니다. 근저당 질권,압류 이력같은건 하나도없이 깔끔합니다. 그래도 불안하니 보증보험 가입하는게 맞겠죠..? 안녕하세요 매매가와 전세보증금액이 같다면 불안하시겠네요 퇴거할 때... "
9,<b>깡통전세</b> 의심으로 인한 계약해지?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=428206937&qb=6rmh7Ya17KCE7IS4&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... 그리고 <b>깡통전세</b>의 기준이뭔지모르겠어요. 인터넷 글만보면 <b>깡통전세</b>의 느낌이 나긴하는데 ...잘모르겠더라구요. 제가사는곳은 저희주택에 거주중인다른분이 추가매매하신걸로 알고있습니다!!계약서는 건물주와 썼구요 잘아시는분... 
