,title,link,description
0,<b>전월세 이중계약</b> 사기를 당했습니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=325537448&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,<b>전월세 이중계약</b> 사기를 당했습니다. 임대인은 관리업체에 위탁했고 월세로 보증금 500에 월40만원을 받는 상황이고 임차인은 전세 3천으로 계약한 상태인데 1년계약 후 묵시적 갱신으로 4달넘게 더살고 있습니다. 뉴스를 보고... 
1,<b>전월세</b> 계약시 중복계약(<b>이중계약</b>) 아는방법??,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=275135817&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,중개업자가 집주인으로부터 월세로 임대받아 임차인에게는 전세로 주어 보증금 차액을 편취하는 <b>이중계약</b> 사례가 아닌 집주인과 중개업자가 공모하여 이미 매물에 <b>전월세</b> 등록된 임차인이 있음에도 임차인이 장기간 자리를 비운 것을... 
2,부동산 <b>전월세 이중계약</b>사기 위임장에 관한 위조,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=322518064&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,집주인의 인감(본인)과 집주인의 인감도장이 찍혀있는 위임장을보고 대리인과 계약을 채결했습니다.(권한은 월세 전세 관리비모두) 현 공인중개사는 도망간상태이고 집주인은 인감은 준건맞지만 위임장이 사기다 자기는 인감도장을... 
3,매입한 아파트 공인중개사 <b>전월세 이중계약</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=257068704&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,2012년 11월 행**공인중개사에 월세놓을 아파트 매입을 의뢰하여 굿*공인중개사에 월세 세입자가있는 아파트을 소개 받아 행**공인중개사와 굿*공중개사 소개로 8100만원에 집사랍 명의로 매입하게 되었고 매도인(김**)에게 계약금 800만원... 
4,<b>전월세 이중계약</b>한것을 정식으로 월세계약한걸로... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=114642804&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... 월세계약서 <b>이중계약</b>서를 썼습니다. (이전에 들어온 세입자들이 당연한듯... 이야기를 하다보니 세입자가 <b>이중계약</b>건에 대해서 신고를 한다는 식으로... <b>이중계약</b>이란것에 대해서 심각하게 생각못하고 있다가.. 이전의 세입자들과... 
5,월세 <b>이중계약</b> 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=361353077&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,<b>전월세</b>보증보험을. 들었는데 집주인의. 세금신고문제로 월세를 낮추자는 계약을 새로 했으면 한다는데요... 이경우 <b>이중계약</b>이라 세입자한테 불이익은 없을까요? 집주인말대로 해도 되는것인지 궁금해서요. 답변부탁드립니다. 질문에... 
6,부동산 전세 <b>이중계약</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=108803613&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,A라는 부동산에 <b>전월세</b> 계약에 대한 위임장을 주었었는데 저는 모르는 B라는 부동산에서 연락이와서 전세계약을... 그래서 <b>이중 계약</b>이 발생했는데 B부동산에서 계약한 세입자가 저에게 손해 배상을 신청하겠다는군요. 며칠후 이사날인데... 
7,"안산 부동산 전,월세 <b>이중계약</b> 사기 당했습니다.",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=322667071&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,"... 세입자 <b>전월세 이중계약</b> 한 돈으로 돌려막기를 한거 같더군요. 여자친구는 최초 계약시부터 최근계약까지 부동산을 믿구 계약한거라 집주인을 보지도, 확인 않고 계약했고 위임장이나 각종 서류를 검토 안하고 전세금을 부동산... "
8,<b>이중계약</b>시 집주인과 중개사무소 책임?,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=156905697&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,... 이 건에 대해서는 정상적인 계약입니다. <b>이중계약</b>이란 1건의 매매(소유권이전)에 대해 2명이상과 계약을 한 것을 말하고요. <b>전월세</b>의 경우는 세입자가 바뀌는 상황이기 때문에 <b>이중계약</b>이 아닙니다. 이상. 
9,월세 <b>이중 계약</b> 여부 및 질문입니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020202&docId=315955100&qb=7KCE7JuU7IS47J207KSR6rOE7JW9&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... 보통 <b>전월세</b> 계약을 하면 전입신고를 하고 동사무소에서 확정일자라는 것을 받습니다. 이렇게 하는 것은 전세금(보증금)을 안전하게 지키기 위한 조치입니다. 전입신고+확정일자를 하면 대항력이라는 것이 생겨서.. 집이 경매에... 
