,title,link,description
0,원룸 <b>전세</b> 계약시 질문,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=177920263&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,... 전실합니다..길더라도 보시고 아시면 도와주세요ㅠ -근저당 3억 -<b>건물</b> 원룸 실의 개수:20실 (<b>전세</b> 4500만원 4실... 님처럼 올(<b>all</b>) <b>전세</b>가 많은 원룸은 불안합니다... 그리고 꼭 명심하여야 하는 부분이 괜히 <b>전세</b>권설정등기를 하면... 
1,<b>전세</b>로 살고 있는 오피스텔이 경매에 넘어가기 직전입니다,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40204&docId=126191987&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,"... (<b>ALL 전세</b>입니다) <b>건물</b>주가 근근히 대출이자를 갚고 있다가 최근 자금력이 바닥나면서 이자 납입이 2개월 연체되었고, 대출만기 또한 한달여전에 종료되었다고 합니다. 그래서 모 금융사가 경매에 넘긴다고 얘기하고 있는... "
2,<b>전세</b> 계약하려는데 안전할까요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=187599772&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,... 원룸 <b>전세</b>금은 3억 3천이고요 <b>건물</b> 싯가는 10~11억 가량으로 보인다고 다른 부동산에서는 이야기하고요. <b>전세</b>로 6500인데 안전할까요?? <b>all 전세</b>라는게 좀 걸리긴 합니다. 원룸 <b>전세</b>가 워낙 없어서 <b>전세</b>인 집이 손가락을 꼽거든요.... 
3,<b>전세</b>계약에 관련된 문제입니다. -절실합니다- (내공 85... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=28046262&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,"... 그렇게 쭉 지내던중 2003년 1월부터 주인이, 원래의 올(<b>all</b>)<b>전세</b>에서 월세를 조금씩 추가해서 낼건지, 아님... 있고, <b>건물</b>의 경우 임대인이 해지통고를 한 경우에 6월이 경과하면 해지의 효력이 발생토록 한다는 규정을 들어 임대인... "
4,"다가구주택 , 근저당설정 도와주세요",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=338083109&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,... 걸어놨어요 - <b>All 전세</b> 1억 / 가계약금 500.000원 가계약금 걸면서 다음주 수요일에 계약서 작성하자고 약속잡고... 1.융자대출금 + 선순위임차보증금(먼저들어온 세입자보증금)+내 보증금 =합이 <b>건물</b>시세가액의65%이상은 계약하면... 
5,부동산에대하여 등기부등본,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=33442933&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,... 어쩼든 집을 구하면되니깐 집을좀보자고하니깐 2주뒤에야 <b>ALL전세</b>로 할수있는 투룸이 나온다고 한답니다. 그래서 알았다고하고 집이나 일단 구경하자고 해서 가보았는데 <b>건물</b>이 아직 완성도 되지않았고 거의90%로 완성되있더라구여... 
6,성건동주변 <b>전세</b>집이나 <b>전세</b>방 찾습니다.^^,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=12110223&docId=20236313&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,... 이제2학년올라가구요 ㅋ 아마 성적이 좀 않되서 자취하려하는데 지금 부터알아보려구요 ^^ 부모님이 <b>전세</b>를... 암튼 경주여고 후문 성건마트(?) 에서 국민주택길 주변으로 원룸<b>건물</b>이 다닥다닥 붙어있죠... 말그대로 원룸이죠..... 
7,<b>건물</b> 매입시 담보대출 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010501&docId=106853037&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,"... 공시지가는 330만원(2009년1월) <b>건물</b>소재지역: 부산경남( B급 상권 지역) <b>건물</b>: 4층(2개층 상가, 2개층 원룸 5개) 건축연도: 2003년 용도: 2종 근생 대지: 43평/ 연면적: 90평 공시지가: 330만원(2009년 1월) <b>전세</b>보증금: 4개층 총 1억 <b>건물</b>주... "
8,안전한 신축빌라일까요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=234501164&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,... 총가구는 주인세대 + 4가구(<b>all 전세</b>) 지금 2층의 1가구는 2억으로 <b>전세</b>계약된거 같은데 안전한 <b>건물</b>일까요? 계약시 특약조건으로는 어떤내용을 첨부할수있을까요?  신축은 당연히 융자가 껴있어요.. 시세가 28억인데 5억빌려있으면... 
9,부동산 <b>전세</b>계약에 관해서 질문드립니다.!!,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=402&docId=33758689&qb=6rG066y8IGFsbOyghOyEuA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,... 본론으로 들어가자면 <b>전세</b>계약에 관해서 질문드립니다. 지금 이사갈집이 시가 1억5천만원정도 한다고 부동산에서... 보통 많은 사람들이 계약부터 덜컥 해놓고는 나중에 보니 근저당이 많이 잡혀있더라 내지는 <b>건물</b>에 심한 하자가... 
